title,score,date,airline,source
"""totally unacceptable time frame""",1,2022-06-01,LUFTHANSA,SKYTRAX
"""I expected much better treatment""",0.5,2023-03-01,LUFTHANSA,SKYTRAX
"""horrible April Fools trick""",0.5,2023-04-01,LUFTHANSA,SKYTRAX
"""they refuse to refund the hotel""",0.5,2022-12-01,LUFTHANSA,SKYTRAX
"""informed us that the credit expired""",0.5,2022-06-01,LUFTHANSA,SKYTRAX
"""suitcase was no where to be found""",0.5,2022-06-01,LUFTHANSA,SKYTRAX
"""the first and last time""",1.5,2023-05-01,LUFTHANSA,SKYTRAX
"""wonderful welcoming crew""",5,2023-04-01,LUFTHANSA,SKYTRAX
"""everything extra is now charged""",1.5,2023-04-01,LUFTHANSA,SKYTRAX
"""they could not provide any hotels""",0.5,2022-12-01,LUFTHANSA,SKYTRAX
"""the trip was really good""",4.5,2023-04-01,LUFTHANSA,SKYTRAX
"""standards have drastically changed""",1.5,2022-10-01,LUFTHANSA,SKYTRAX
"""avoid any questions to customer service""",1.5,2022-12-01,LUFTHANSA,SKYTRAX
"""serious zeal of economising""",2,2023-03-01,LUFTHANSA,SKYTRAX
"""rebooked us on a Singapore Airlines flight""",5,2023-04-01,LUFTHANSA,SKYTRAX
"""avoid Lufthansa if I can""",1.5,2023-03-01,LUFTHANSA,SKYTRAX
"""absolutely appalling""",1,2022-11-01,LUFTHANSA,SKYTRAX
"""charging extra fees for everything""",0.5,2023-04-01,LUFTHANSA,SKYTRAX
"""miss our connection to Miami""",0.5,2023-04-01,LUFTHANSA,SKYTRAX
"""worst in flight experience""",3,2023-03-01,LUFTHANSA,SKYTRAX
"""never take Lufthansa again""",0.5,2023-03-01,LUFTHANSA,SKYTRAX
"""my worst experience ever""",0.5,2023-03-01,LUFTHANSA,SKYTRAX
"""does not meet expectations""",0.5,2023-03-01,LUFTHANSA,SKYTRAX
"""disgraceful and very disappointing""",0.5,2023-02-01,LUFTHANSA,SKYTRAX
"""became a below average airline""",1.5,2023-03-01,LUFTHANSA,SKYTRAX
"""They are a really bad airline""",0.5,2023-03-01,LUFTHANSA,SKYTRAX
"""Legroom in Economy was below minimum""",0.5,2023-03-01,LUFTHANSA,SKYTRAX
"""a joy flying with them""",4.5,2023-03-01,LUFTHANSA,SKYTRAX
"""seating is well below industry standard""",1.5,2023-03-01,LUFTHANSA,SKYTRAX
"""Fares are high, service is low""",2.5,2022-12-01,LUFTHANSA,SKYTRAX
